solver,matrix,rows,nnz,threads,run,factor_s,solve_s,residual,bwderr,mem_fact_mb,mem_rss_mb
MUMPS,ASIC_680k.mtx,682862,3871773,1,1,205.048,0.46933,0.00012922,1.64682e-26,4930,5352.77
MUMPS,ASIC_680k.mtx,682862,3871773,1,2,224.344,0.465058,0.00012922,1.64682e-26,4930,5352.61
MUMPS,ASIC_680k.mtx,682862,3871773,1,3,204.076,0.482183,0.00012922,1.64682e-26,4930,5352.62
MUMPS,ASIC_680k.mtx,682862,3871773,1,4,208.088,5.9292,0.00012922,1.64682e-26,4930,5352.77
MUMPS,ASIC_680k.mtx,682862,3871773,2,1,125.571,0.40944,0.000113204,1.44271e-26,4865,5440.58
MUMPS,ASIC_680k.mtx,682862,3871773,2,2,126.649,0.404734,0.000113204,1.44271e-26,4865,5440.63
MUMPS,ASIC_680k.mtx,682862,3871773,2,3,143.564,0.41289,0.000113204,1.44271e-26,4865,5440.49
MUMPS,ASIC_680k.mtx,682862,3871773,2,4,126.29,0.412049,0.000113204,1.44271e-26,4865,5440.37
MUMPS,ASIC_680k.mtx,682862,3871773,4,1,129.649,0.571824,7.32878e-05,9.34003e-27,4829,5429.45
MUMPS,ASIC_680k.mtx,682862,3871773,4,2,130.229,8.69169,7.32878e-05,9.34003e-27,4829,5429.8
MUMPS,ASIC_680k.mtx,682862,3871773,4,3,129.07,0.5697,7.32878e-05,9.34003e-27,4829,5429.84
MUMPS,ASIC_680k.mtx,682862,3871773,4,4,129.007,0.579373,7.32878e-05,9.34003e-27,4829,5429.65
